pdf_url,question,politician,lastname,firstname
http://interactive.guim.co.uk/australia/2015/jan/81_Stoner_Andrew.pdf,"Transcribe the register of interests for Stoner, Andrew","Stoner, Andrew",Stoner,Andrew
http://interactive.guim.co.uk/australia/2015/jan/82_Tebbutt_Carmel.pdf,"Transcribe the register of interests for Tebbutt, Carmel","Tebbutt, Carmel",Tebbutt,Carmel
http://interactive.guim.co.uk/australia/2015/jan/83_Toole_Paul.pdf,"Transcribe the register of interests for Toole, Paul","Toole, Paul",Toole,Paul
http://interactive.guim.co.uk/australia/2015/jan/84_Upton_Gabrielle.pdf,"Transcribe the register of interests for Upton, Gabrielle","Upton, Gabrielle",Upton,Gabrielle
http://interactive.guim.co.uk/australia/2015/jan/85_Ward_Gareth.pdf,"Transcribe the register of interests for Ward, Gareth","Ward, Gareth",Ward,Gareth
http://interactive.guim.co.uk/australia/2015/jan/86_Watson_Anna.pdf,"Transcribe the register of interests for Watson, Anna","Watson, Anna",Watson,Anna
http://interactive.guim.co.uk/australia/2015/jan/87_Webber_Darren.pdf,"Transcribe the register of interests for Webber, Darren","Webber, Darren",Webber,Darren
http://interactive.guim.co.uk/australia/2015/jan/88_Williams_John.pdf,"Transcribe the register of interests for Williams, John","Williams, John",Williams,John
http://interactive.guim.co.uk/australia/2015/jan/89_Williams_Leslie.pdf,"Transcribe the register of interests for Williams, Leslie","Williams, Leslie",Williams,Leslie
http://interactive.guim.co.uk/australia/2015/jan/8_Baumann_Craig.pdf,"Transcribe the register of interests for Baumann, Craig","Baumann, Craig",Baumann,Craig
http://interactive.guim.co.uk/australia/2015/jan/90_Williams_Ray.pdf,"Transcribe the register of interests for Williams, Ray","Williams, Ray",Williams,Ray
http://interactive.guim.co.uk/australia/2015/jan/91_Zangari_Guy.pdf,"Transcribe the register of interests for Zangari, Guy","Zangari, Guy",Zangari,Guy
http://interactive.guim.co.uk/australia/2015/jan/9_Berejiklian_Gladys.pdf,"Transcribe the register of interests for Berejiklian, Gladys","Berejiklian, Gladys",Berejiklian,Gladys
